Time,Sine1Hz,Sine5Hz,Sine10Hz,Square1Hz,Square5Hz,Square10Hz,Triangle1Hz,Triangle5Hz,Triangle10Hz
2.87287287287287,-0.716493923482785,0.752746238497962,-0.991081946669017,-1,1,-1,-0.50850850850851,0.54254254254255,-0.914914914914901
2.88288288288288,-0.671231219340904,0.512204927953124,-0.879827995816441,-1,1,-1,-0.46846846846847,0.34234234234235,-0.6846846846847
2.89289289289289,-0.623314167938218,0.221425832321572,-0.43185885301332,-1,1,-1,-0.42842842842843,0.14214214214215,-0.284284284284301
2.9029029029029,-0.572932254642021,-0.0910710226866273,0.181385135872624,-1,-1,1,-0.388388388388389,-0.0580580580580494,0.116116116116099
2.91291291291291,-0.52028471198158,-0.394635502749427,0.725211998760377,-1,-1,1,-0.348348348348349,-0.258258258258249,0.516516516516498
2.92292292292292,-0.465579731793957,-0.659493573535884,0.991496093597381,-1,-1,1,-0.308308308308308,-0.458458458458449,0.916916916916897
2.93293293293293,-0.409033641940749,-0.859667580180744,0.878328978582771,-1,-1,1,-0.26826826826827,-0.658658658658657,0.682682682682685
2.94294294294294,-0.350870050851333,-0.975524172481838,0.429020354062332,-1,-1,1,-0.22822822822823,-0.858858858858857,0.282282282282286
2.95295295295295,-0.291318963275549,-0.995699971706838,-0.184476806803485,-1,-1,-1,-0.18818818818819,-0.940940940940943,-0.118118118118113
2.96296296296296,-0.230615870742442,-0.918216106880276,-0.727373641573042,-1,-1,-1,-0.148148148148149,-0.740740740740744,-0.518518518518513
2.97297297297297,-0.16900082032185,-0.750672305252728,-0.991900435258876,-1,-1,-1,-0.108108108108109,-0.540540540540544,-0.918918918918912
2.98298298298298,-0.106717465371359,-0.509501500283879,-0.87682127523316,-1,-1,-1,-0.0680680680680684,-0.340340340340345,-0.680680680680689
2.99299299299299,-0.0440121020223853,-0.218358066244653,-0.426177612372449,-1,-1,-1,-0.0280280280280303,-0.140140140140145,-0.28028028028029
3.003003003003,0.018867304784464,0.0942022363276181,0.187566653375821,1,1,1,0.0120120120120101,0.0600600600600548,0.12012012012011
3.01301301301301,0.0816721018632041,0.397523050083905,0.729528091122176,1,1,1,0.0520520520520504,0.260260260260255,0.520520520520509
3.02302302302302,0.144153931067956,0.661854239829861,0.992294967654811,1,1,1,0.0920920920920908,0.460460460460454,0.920920920920908
3.03303303303303,0.206065711411691,0.861269827939225,0.875304900677823,1,1,1,0.132132132132131,0.660660660660654,0.678678678678692
3.04304304304304,0.26716261613452,0.976210850974427,0.423330656056556,1,1,1,0.172172172172172,0.860860860860854,0.278278278278293
3.05305305305305,0.327203040857771,0.995403730534014,-0.19065464503304,1,1,-1,0.212212212212212,0.938938938938947,-0.122122122122106
3.06306306306306,0.385949558995326,0.916966001796019,-0.73167532610166,1,1,-1,0.25225225225225,0.738738738738747,-0.522522522522505
